Nr tygodnia,2015,2016,2017,2018,2019,2020,2021
1,,8246,9321,8406,8706,8473,11491
2,,7942,10270,8107,8613,8275,10989
3,,7702,9902,8663,8740,8091,11030
4,,7999,9966,8811,8833,8042,10420
5,,8000,10102,9009,9381,8578,9896
6,,8160,9464,9118,9303,8363,9945
7,,7954,9256,9145,9261,8657,10140
8,,7893,9077,9366,8744,8503,9917
9,,8015,8408,9898,8653,8488,10174
10,,7879,7989,10137,8407,8389,10850
11,,7847,7732,9510,8210,8437,11568
12,,8049,7665,9089,8056,8337,12619
13,,8062,7703,8730,7827,8164,13839
14,,7636,7391,8599,7805,8005,13811
15,,7540,7468,8239,7719,8012,12785
16,,7132,7504,7773,7762,8211,11982
17,,7199,7499,7613,8129,7767,11052
18,,7425,7416,7394,7522,7770,10021
19,,7272,7088,7353,7526,7600,6074
20,,6966,7173,7098,7473,7581,
21,,7270,7110,7336,7615,7576,
22,,6968,7130,7727,7492,7652,
23,,6645,6917,7204,7990,7831,
24,,6821,6868,7061,8286,7763,
25,,7607,7281,7094,7220,7412,
26,,6884,7047,7025,7382,7397,
27,,6625,6737,7378,7097,7668,
28,,6912,6842,7195,7144,7340,
29,,6688,7219,7210,7485,7537,
30,,7291,7029,7707,7692,7594,
31,,6681,7587,8051,7298,7815,
32,,6740,6936,7331,7222,7974,
33,,6837,6886,6893,7001,8102,
34,,7070,6642,6914,7083,7962,
35,,7032,7007,6967,7877,7461,
36,6907,7007,7009,7211,7002,7583,
37,6691,6774,7218,7186,7000,7719,
38,7170,6795,7300,7500,7426,8251,
39,6879,7373,7559,7431,8032,8246,
40,7187,7393,8066,7882,7719,8428,
41,7229,7486,7832,7594,7853,9212,
42,7891,7681,7632,7561,7836,10245,
43,7605,7521,7579,7778,7657,12386,
44,7378,7689,7625,7793,7678,14769,
45,7456,7525,7378,7644,7648,16264,
46,7521,7576,7522,7616,7596,15652,
47,7481,7735,7814,7742,7559,14856,
48,7447,7787,7598,7952,7720,13644,
49,7614,8011,7830,8116,7965,13000,
50,7593,7859,7965,7946,7986,12028,
51,7501,8321,8038,8190,8250,11645,
52,7643,8904,8460,8566,8245,11973,
53,7864,,,,,11686,
